"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","IntStrength","IntType","NatPam","CoeffReg"
54,"f1.0",-0.0333844892166422,0.56059722764721,0.0834612230416055,3.86383703340744,-0.4,-1.13215505540517,1.06538607697189,0.97,0.14,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
54,"f12.0",-0.021195438633286,0.683930826692064,-0.10597719316643,2245.47661574822,0.2,-1.36169985894973,1.31930898168316,0.99,0.03,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
54,"f2.0",0.0806041763845584,0.437548404609709,-0.201510440961396,5.28269833045853,-0.4,-0.776990696650472,0.938199049419589,0.99,0.07,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
90,"f1.0",-0.0717879538548995,0.360568105839745,0.179469884637249,1.65736019689488,-0.4,-0.778501441300801,0.634925533591002,0.97,0.26,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
90,"f12.0",0.0937051312989464,0.612600065740584,0.468525656494732,1.91805494866552,0.2,-1.1069909975526,1.29440126015049,0.95,0.04,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
90,"f2.0",-0.0547885771476206,0.362557387381236,0.136971442869051,2.04095258572027,-0.4,-0.765401056414843,0.655823902119602,0.96,0.22,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
148,"f1.0",-0.0289160074749996,0.293367178490711,0.072290018687499,2.1783081530839,-0.4,-0.603915677316792,0.546083662366793,0.97,0.37,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
148,"f12.0",0.0318591103414401,0.435204928292029,0.159295551707201,2.90272978391173,0.2,-0.821142549110937,0.884860769793818,0.96,0.06,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
148,"f2.0",0.0162702926104611,0.2747458581073,-0.0406757315261527,1.53609437489289,-0.4,-0.522231589279848,0.55477217450077,0.94,0.26,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
244,"f1.0",-0.00185737643110022,0.228301775464579,0.00464344107775055,1.49231132705055,-0.4,-0.449328856341674,0.445614103479474,0.95,0.44,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
244,"f12.0",0.0209359051353284,0.347780387292988,0.104679525676642,2.60608705256461,0.2,-0.660713653958929,0.702585464229585,0.93,0.1,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
244,"f2.0",0.00901609554466603,0.201525412127447,-0.0225402388616651,0.823128588587957,-0.4,-0.385973712225129,0.404005903314462,0.99,0.46,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
403,"f1.0",0.00606625277859376,0.178963949744467,-0.0151656319464844,12.4782801117843,-0.4,-0.344703088720562,0.356835594277749,0.92,0.61,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
403,"f12.0",0.0194081218332,0.2887810588745,0.0970406091659999,4.46149401334179,0.2,-0.54660275356082,0.58541899722722,0.95,0.16,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
403,"f2.0",-0.00087174240906568,0.164931067877544,0.00217935602266421,0.908976150459265,-0.4,-0.324136635449052,0.322393150630921,0.95,0.72,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
665,"f1.0",-0.00268758492976391,0.128739188900113,0.00671896232440977,0.369362122930278,-0.4,-0.255016395173986,0.249641225314458,0.95,0.87,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
665,"f12.0",-0.00904851212212075,0.192088119829138,-0.0452425606106037,1.89075733993118,0.2,-0.38554122698723,0.367444202742989,0.99,0.16,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
665,"f2.0",0.0223516577472631,0.118287091757856,-0.0558791443681577,0.384926580677419,-0.4,-0.209491042098135,0.254194357592661,0.94,0.87,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
1096,"f1.0",0.00376451564801778,0.0981231962598041,-0.00941128912004444,0.267789654856972,-0.4,-0.188556949021198,0.196085980317234,0.94,0.98,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
1096,"f12.0",-0.00782993654099323,0.158250360663934,-0.0391496827049661,2.31100278357925,0.2,-0.318000643442304,0.302340770360318,0.94,0.26,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
1096,"f2.0",0.0177849778494805,0.103865771521024,-0.0444624446237013,0.283269308974281,-0.4,-0.185791934331727,0.221361890030688,0.95,0.98,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
1808,"f1.0",0.00716152221358443,0.0773906448190573,-0.0179038055339611,0.203323117000486,-0.4,-0.144524141631768,0.158847186058937,0.93,1,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
1808,"f12.0",-0.0221961110170413,0.134774215196629,-0.110980555085206,1.4487265539032,0.2,-0.286353572802435,0.241961350768353,0.9,0.33,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
1808,"f2.0",0.00442078872082358,0.0688307510933734,-0.0110519718020589,0.200847484073573,-0.4,-0.130487483422188,0.139329060863835,0.99,1,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
2980,"f1.0",0.00431941795917522,0.0561489060742568,-0.010798544897938,0.154486978270961,-0.4,-0.105732437946368,0.114371273864719,0.99,1,1,100,"LL","Scenario2","Weak","Positive interaction ","f1.0","alpha0"
2980,"f12.0",0.00504772901307981,0.0881860771850432,0.0252386450653991,0.683704754384833,0.2,-0.167796982269605,0.177892440295764,0.98,0.59,1,100,"LL","Scenario2","Weak","Positive interaction ","f12.0","beta0"
2980,"f2.0",3.78844368062003e-05,0.0534007595154564,-9.47110920155003e-05,0.152421860720255,-0.4,-0.104627604213488,0.104703373087101,0.96,1,1,100,"LL","Scenario2","Weak","Positive interaction ","f2.0","gamma0"
20,"f1.0",-0.109364734240577,1.98956120919328,0.546823671202885,3.98826693455331,-0.2,-4.00890470425941,3.79017523577826,1,0,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
20,"f12.0",0.519216643792173,2.72848845530825,0.865361072986956,3602.90316424824,0.6,-4.828620728612,5.86705401619635,1,0,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
20,"f2.0",0.0259928771038026,1.94832937498245,-0.129964385519013,4.01342121998201,-0.2,-3.79273269786179,3.8447184520694,1,0,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
33,"f1.0",0.0276892841749378,1.43188783352124,-0.138446420874689,7.5417104337609,-0.2,-2.77881086952669,2.83418943787656,0.99,0.01,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
33,"f12.0",0.34268162283149,2.38998078999608,0.571136038052484,3.19354899368546,0.6,-4.34168072556082,5.0270439712238,0.99,0.01,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
33,"f2.0",-0.141812817402307,1.54616379251833,0.709064087011533,8.16649763159974,-0.2,-3.17229385073823,2.88866821593361,1,0,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
54,"f1.0",0.0790682376817714,0.55524960278616,-0.395341188408857,4.32626021816732,-0.2,-1.0092209837791,1.16735745914265,1,0.01,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
54,"f12.0",-0.0930896405717936,0.780558536389145,-0.155149400952989,362.045382722218,0.6,-1.62298437189452,1.43680509075093,0.99,0.05,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
54,"f2.0",0.18036302825576,0.634976981801825,-0.901815141278802,5.62682111094067,-0.2,-1.06419185607582,1.42491791258734,0.99,0,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
90,"f1.0",0.0174340702374621,0.420874515573724,-0.0871703511873106,3.3542865258959,-0.2,-0.807479980287037,0.842348120761962,0.98,0.05,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
90,"f12.0",0.0151737508242143,0.5706648739192,0.0252895847070239,22321.471162397,0.6,-1.10332940205742,1.13367690370585,0.98,0.12,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
90,"f2.0",-0.0507921974307288,0.424496478081578,0.253960987153644,5.18244237798216,-0.2,-0.882805294470622,0.781220899609165,0.96,0.06,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
148,"f1.0",0.0407696414042478,0.318561525947311,-0.203848207021239,3.86660831243615,-0.2,-0.583610949452483,0.665150232260978,0.97,0.09,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
148,"f12.0",-0.0621845737256186,0.499653646889271,-0.103640956209364,6.87823949145584,0.6,-1.04150572162859,0.917136574177352,0.97,0.2,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
148,"f2.0",0.0518934691815272,0.299561576468027,-0.259467345907636,4.26167262373332,-0.2,-0.535247220695806,0.63903415905886,0.97,0.05,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
244,"f1.0",-0.0186822041757954,0.245087363720905,0.0934110208789771,2.49197547337072,-0.2,-0.499053437068769,0.461689028717178,0.97,0.15,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
244,"f12.0",0.0536143175113022,0.386759551765839,0.0893571958521704,1.27590504434313,0.6,-0.704434403949741,0.811663038972346,0.92,0.48,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
244,"f2.0",-0.0290800586411373,0.256300602318532,0.145400293205687,5.06615885678182,-0.2,-0.53142923918546,0.473269121903185,0.95,0.15,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
403,"f1.0",0.0102004433052879,0.181720116156597,-0.0510022165264393,3.38751860898655,-0.2,-0.345970984361643,0.366371870972218,0.98,0.23,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
403,"f12.0",-0.00869974698012959,0.229654667169706,-0.014499578300216,1.73063077670731,0.6,-0.458822894632753,0.441423400672494,0.94,0.61,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
403,"f2.0",-0.00104937295670918,0.183906452374687,0.00524686478354589,1.9958598113512,-0.2,-0.361506019611096,0.359407273697678,0.94,0.18,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
665,"f1.0",-0.0136707284542864,0.141221746810968,0.068353642271432,1.33917949208959,-0.2,-0.290465352203784,0.263123895295211,0.96,0.33,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
665,"f12.0",0.00502686573544847,0.219715362644007,0.00837810955908078,0.416584186061248,0.6,-0.425615245046806,0.435668976517703,0.96,0.82,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
665,"f2.0",-0.0116601652607004,0.150512936218788,0.058300826303502,3.47426970019013,-0.2,-0.306665520249525,0.283345189728124,0.93,0.38,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
1096,"f1.0",-0.00601589147121526,0.121365755525534,0.0300794573560763,1.50455524391807,-0.2,-0.243892772301262,0.231860989358831,0.9,0.48,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
1096,"f12.0",0.0258009066709636,0.170389354324543,0.0430015111182726,0.285139004727746,0.6,-0.308162227805141,0.359764041147068,0.91,0.96,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
1096,"f2.0",-0.0123682934317772,0.104695982672651,0.0618414671588862,2.19126928789077,-0.2,-0.217572419470174,0.19283583260662,0.98,0.48,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
1808,"f1.0",0.0216461273805137,0.076061855376088,-0.108230636902568,0.603142018679867,-0.2,-0.127435109156619,0.170727363917646,1,0.52,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
1808,"f12.0",-0.0316585948859303,0.111512214684249,-0.0527643248098839,0.229496567239713,0.6,-0.250222535667059,0.186905345895198,0.99,1,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
1808,"f2.0",0.0120028429863946,0.0704973554412603,-0.0600142149319731,0.59721381656085,-0.2,-0.126171973678476,0.150177659651265,0.98,0.57,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
2980,"f1.0",0.00218663461861001,0.0637347119018973,-0.01093317309305,0.386731746829046,-0.2,-0.122733400709109,0.127106669946329,0.98,0.86,1,100,"LL","Scenario5","Moderate","Positive interaction ","f1.0","alpha0"
2980,"f12.0",-0.0046755569528581,0.0935996942301128,-0.00779259492143016,0.168664441858398,0.6,-0.188130957643879,0.178779843738163,0.95,1,1,100,"LL","Scenario5","Moderate","Positive interaction ","f12.0","beta0"
2980,"f2.0",0.007196026119002,0.0673745131958777,-0.03598013059501,0.548820499946376,-0.2,-0.124858019744918,0.139250071982922,0.94,0.86,1,100,"LL","Scenario5","Moderate","Positive interaction ","f2.0","gamma0"
20,"f1.0",0.523278382006734,2.30621762207329,5.23278382006734,3.29905831745974,0.1,-3.99690815725692,5.04346492127038,0.99,0,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
20,"f12.0",-1.58293052783643,4.46408476989463,1.58293052783643,170.981138270209,-1,-10.3325366768299,7.16667562115705,1,0.02,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
20,"f2.0",0.545252122514218,2.31772690519223,5.45252122514218,16.1398188538585,0.1,-3.99749261166255,5.08799685669099,1,0,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
33,"f1.0",0.411211085995985,1.39320066498579,4.11211085995985,5.4938630026887,0.1,-2.31946221737616,3.14188438936813,0.96,0.03,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
33,"f12.0",-0.556989444779713,2.11854419656082,0.556989444779713,2.83698748862322,-1,-4.70933607003892,3.5953571804795,0.99,0.07,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
33,"f2.0",0.351641868401279,1.47183115146046,3.51641868401279,21.675955641583,0.1,-2.53314718846122,3.23643092526378,0.98,0.01,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
54,"f1.0",0.104708692348665,0.537029575070929,1.04708692348665,3.72330672124079,0.1,-0.947869274790355,1.15728665948769,0.98,0.02,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
54,"f12.0",-0.158363776926235,0.828141976950121,0.158363776926235,136.034186112563,-1,-1.78152205174847,1.464794497896,0.98,0.26,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
54,"f2.0",0.0872874338215565,0.516438887745784,0.872874338215565,3.52298274672258,0.1,-0.924932786160179,1.09950765380329,0.99,0.03,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
90,"f1.0",0.0155685171625792,0.441326412004202,0.155685171625792,3.59578922343962,0.1,-0.849431250365657,0.880568284690815,0.95,0.04,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
90,"f12.0",0.0307504112860413,0.638375563908066,-0.0307504112860413,1.14256161091581,-1,-1.22046569397377,1.28196651654585,0.95,0.31,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
90,"f2.0",0.00136748552502778,0.458939788451128,0.0136748552502778,3.48857676019927,0.1,-0.898154499839182,0.900889470889238,0.95,0.05,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
148,"f1.0",0.0124267217119188,0.299289626670123,0.124267217119188,3.39603166719701,0.1,-0.574180946561522,0.59903438998536,0.96,0.03,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
148,"f12.0",-0.0206523354493112,0.442911479683125,0.0206523354493112,0.624633399722288,-1,-0.888758835628236,0.847454164729614,0.98,0.61,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
148,"f2.0",0.02556139360607,0.309795217550377,0.2556139360607,189.631941698557,0.1,-0.581637232792668,0.632760020004808,0.97,0.05,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
244,"f1.0",-0.00408030844419395,0.212859754382436,-0.0408030844419395,4.24982909591622,0.1,-0.421285427033769,0.413124810145381,0.96,0.06,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
244,"f12.0",0.0289627725537245,0.314676841831745,-0.0289627725537245,0.411302389573688,-1,-0.587803837436497,0.645729382543946,0.95,0.86,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
244,"f2.0",-0.0344994839884178,0.211364039369891,-0.344994839884178,6.08939385878618,0.1,-0.448773001153405,0.379774033176569,0.97,0.04,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
403,"f1.0",0.0167124988125601,0.18821544689932,0.167124988125601,2.77461967613598,0.1,-0.352189777110108,0.385614774735228,0.94,0.1,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
403,"f12.0",-0.0418942902743889,0.269288335832196,0.0418942902743889,0.280298410191522,-1,-0.569699428505492,0.485910847956714,0.97,0.98,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
403,"f2.0",0.0395910069325147,0.171512570066508,0.395910069325147,4.41881380584079,0.1,-0.29657363039784,0.375755644262869,0.94,0.12,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
665,"f1.0",0.00751271613987624,0.140962836966908,0.0751271613987624,3.02416800911944,0.1,-0.268774444315262,0.283799876595015,0.95,0.14,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
665,"f12.0",-0.013837196685753,0.19669363132888,0.013837196685753,0.21315538572404,-1,-0.399356714090357,0.371682320718851,0.91,1,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
665,"f2.0",0.017669273953905,0.135993286277363,0.17669273953905,2.30250645178081,0.1,-0.248877567149727,0.284216115057536,0.94,0.14,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
1096,"f1.0",0.00127107376782951,0.108857150333146,0.0127107376782951,1.81395989643472,0.1,-0.212088940885137,0.214631088420796,0.96,0.17,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
1096,"f12.0",-0.013632304442121,0.168592059253918,0.013632304442121,0.163903210530769,-1,-0.344072740579801,0.316808131695559,0.93,1,1,100,"LL","Scenario3","Strong","Negative interaction","f12.0","beta0"
1096,"f2.0",0.00947910755536848,0.0956981746015744,0.0947910755536847,2.42235157785572,0.1,-0.178089314663717,0.197047529774454,0.97,0.19,1,100,"LL","Scenario3","Strong","Negative interaction","f2.0","gamma0"
1808,"f1.0",-0.00588178145276383,0.085912821448984,-0.0588178145276383,212.083009207293,0.1,-0.174270911492772,0.162507348587245,0.93,0.2,1,100,"LL","Scenario3","Strong","Negative interaction","f1.0","alpha0"
