"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
33,"f1.0",0.0865946735842832,0.871882140872687,-0.216486683960708,2.13711264996088,-0.4,-1.62229432252618,1.79548366969475,0.51,0.22,1,100,"PL","1 Slope","1st","Intercept"
33,"f12.0",0.31771085935917,1.38116940019603,-0.529518098931949,5.38794076801476,-0.6,-2.38938116502505,3.02480288374339,0.3,0.33,1,100,"PL","1 Slope","2nd","Intercept"
33,"f12.1",-0.51077618771997,0.587218600049129,-0.638470234649962,1.94843728442251,0.8,-1.66172464381626,0.640172268376324,0.24,0.18,1,100,"PL","1 Slope","2nd","Slope"
33,"f2.0",0.191685842383117,0.308375449134914,-0.479214605957794,1.80916106456018,-0.4,-0.412730037921314,0.796101722687549,0.5,0.19,1,100,"PL","1 Slope","1st","Intercept"
54,"f1.0",0.120980769727735,0.236931462417218,-0.302451924319338,1.17754696103834,-0.4,-0.343404896610011,0.585366436065482,0.64,0.25,1,100,"PL","1 Slope","1st","Intercept"
54,"f12.0",0.0754504130536918,1.64272747879796,-0.12575068842282,1.37471529080991,-0.6,-3.14429544539031,3.29519627149769,0.31,0.4,1,100,"PL","1 Slope","2nd","Intercept"
54,"f12.1",-0.412467423789555,0.728169295528655,-0.515584279736944,114.732482098413,0.8,-1.83967924302572,1.01474439544661,0.19,0.37,1,100,"PL","1 Slope","2nd","Slope"
54,"f2.0",0.145581679393924,0.255487614761926,-0.363954198484811,1.24066099488758,-0.4,-0.355174045539451,0.6463374043273,0.68,0.32,1,100,"PL","1 Slope","1st","Intercept"
90,"f1.0",0.103564678255402,0.241159991770819,-0.258911695638505,2.70714051464634,-0.4,-0.369108905615404,0.576238262126207,0.76,0.37,1,100,"PL","1 Slope","1st","Intercept"
90,"f12.0",0.240761884787916,0.359249461304351,-0.401269807979861,1.04604959720669,-0.6,-0.463367059368611,0.944890828944444,0.41,0.48,1,100,"PL","1 Slope","2nd","Intercept"
90,"f12.1",-0.30534782031565,0.467953822394102,-0.381684775394563,0.668727672475871,0.8,-1.22253731220809,0.611841671576789,0.34,0.51,1,100,"PL","1 Slope","2nd","Slope"
90,"f2.0",0.0813439811126741,0.21361834382607,-0.203359952781685,1.61834172556254,-0.4,-0.337347972786424,0.500035935011772,0.82,0.44,1,100,"PL","1 Slope","1st","Intercept"
148,"f1.0",0.0950402004087538,0.20469590898597,-0.237600501021884,1.18654264731057,-0.4,-0.306163781203748,0.496244182021256,0.87,0.52,1,100,"PL","1 Slope","1st","Intercept"
148,"f12.0",0.118598236299428,0.422498681813555,-0.197663727165714,0.679284285903032,-0.6,-0.70949918005514,0.946695652653996,0.53,0.65,1,100,"PL","1 Slope","2nd","Intercept"
148,"f12.1",-0.279342376029058,0.343255351544064,-0.349177970036322,1.65815136290604,0.8,-0.952122865055422,0.393438112997307,0.48,0.68,1,100,"PL","1 Slope","2nd","Slope"
148,"f2.0",0.0870811734805178,0.183898202138252,-0.217702933701295,1.5759764495304,-0.4,-0.273359302710457,0.447521649671493,0.85,0.51,1,100,"PL","1 Slope","1st","Intercept"
244,"f1.0",0.0190646545616774,0.161437878006096,-0.0476616364041936,0.548335786744228,-0.4,-0.297353586330272,0.335482895453627,0.94,0.71,1,100,"PL","1 Slope","1st","Intercept"
244,"f12.0",0.128697517425481,0.271270170680808,-0.214495862375801,0.84509484132418,-0.6,-0.402992017108904,0.660387051959865,0.78,0.66,1,100,"PL","1 Slope","2nd","Intercept"
244,"f12.1",-0.185674793946906,0.296294013020075,-0.232093492433632,0.376331974408322,0.8,-0.766411059466252,0.395061471572441,0.61,0.88,1,100,"PL","1 Slope","2nd","Slope"
